Tom's packing.,tom packing kuri ase
Tom's unarmed.,tom la haat dey eiku nai
Tom's violent.,tom bishi khussa oethe
Tom's working.,tom bishi kaam kure
Tom's wounded.,tom jokhom baina ase
Try to resist.,resist kurivole try kurivi
Wait a minute.,ek minute rukhivi
Wait a second.,ekta second rukhivi
Wait till six.,sic thak rukhivi
Walk this way.,eitu raasta beravi
Was I snoring?,moi snor kuri thakise?
Was Tom there?,tom yate thakise?
Was it a joke?,ki eitu joke thakise?
Was that a no?,ki eitu toh no thakise?
Watch closely.,osor bara savi
Watch my back.,moila biche savi
We admire you.,moi khan tuike kushi bai
We all agreed.,moi agree kure
We all change.,moikhan sob change hoi
We are at war.,moikhan war dey ase
We are doomed.,moikhan doomed ase
We can try it.,moi aaro kushish kurivole barivo
We can't fail.,moi khan fail nahvole lake
We can't lose.,moi khan naharivole lake
We caught you.,moi khan tuike thurise
We could read.,moi khan burivole bari thakise
We could wait.,moi khan rukhivole bari thakise
We could walk.,moi khan beraivole bari thakise
We don't know.,moi khan najane
We have to go.,moi khan javole lake
We kept quiet.,moikhan chuub buhivole lake
We meant well.,moi khan bhal side dey kwa ase
We met before.,moi khan boila bhi lok baise
We missed you.,moi khan tui ke yaat ahi thakise
We must check.,moikhan check kurivole lake
We must focus.,moikhan focus kurivole lake
We must hurry.,moikhan jolti kurivole lake
We must leave.,moi khan jolti javole lake
We must speak.,moikha khota kovole lake
We need a car.,moikhan ke car lake
We need a map.,moikhan ke map lake
We need money.,moikhan ke map lake
We need proof.,moikhan ke proof lake
We need rules.,moi khan ke rules lake
We need sleep.,moi khan gomavole lake
We need to go.,moikhan javole lake
We need tools.,moi khan ke tools lake
We need water.,moikhan ke paani lake
We never lose.,moikhan nahare
We should eat.,moikhan khavole lake
We took a cab.,moikhan cab loise
We understand.,moikhan buji ase
We want candy.,moikhan cke candy lake
We want peace.,moikhan ke peace lake
We want to go.,moikhan javole mon ase
We wanted you.,moikhan ke tui laki thakise
We were bored.,moikhan alchi laki se
We were lucky.,moi khan ke gopal thakise
We were right.,moikhan thik thakise
We were there.,moi khan yaate thakise
We will fight.,moi khan fight kuri savo
We wonder why.,moi khan toh bhabhi thkise
We'll all die.,moi khan sob murivole ase
We'll both go.,moijun bhi javo
We'll explain.,moi khan buujai divo
We'll find it.,moi khan bara bisarivo
We'll rebuild.,moi khan rebonaibo
We'll respond.,moi khan jawab divo
We'll succeed.,moi khan succeed hobo
We'll survive.,moi khan bajivo
We're a group.,moi khan toh group ase
We're anxious.,moi khan anxious ase
We're ashamed.,moikhan ashamed ase
We're baffled.,moi khan toh baffled hoise
We're careful.,moi khan bhalbar akuriase
We're certain.,moi khan toh ekdam jani ase
We're cousins.,moi khan toh khor manu ase
We're dancing.,moi khan toh dance kuri ase
We're dieting.,moi khan diet kuri ase
We're doctors.,moikhan doctor ase
We're engaged.,mooikha engaged ase
We're fasting.,moikhan fasting kuri ase
We're friends.,moi khan saathi ase?
We're in love.,moikhan toh morom kure
We're in luck.,moi khan ke luck bishi ase
We're in pain.,moikha duk bai ase
We're in sync.,moi khan toh sync dey ase
We're in town.,moikhan toh town dey ase
We're jealous.,moi mon juli ase
We're kidding.,moikhan aine khila la ase
We're married.,moikhan toh married ase
We're not fit.,moi khan fit nai
We're not mad.,moikhan gussa dey nai
We're not old.,moi khan bura buri howa nai
We're reading.,moikhan buri ase
We're relaxed.,moikha relaxed ase
We're serious.,moikhan serious ase
We're shocked.,moikhan toh shocked dey ase
We're sincere.,moi khan sincere se
We're sinking.,moi khan dube ase
We're sloshed.,moi khan sloshed hoise
We're smashed.,moi khan ke toh maridise
We're special.,moi khan toh olop alak bhal ase
We're stalled.,moi khan toh stalled hoise
We're starved.,moi khan toh bhuk laki ase
We're staying.,moikhan rukhi ase
We're stuffed.,moi khan toh full ase
We're stunned.,moi khan toh rukhi jaise
We're through.,moikhan toh chariase
We're too old.,moikhan toh olop pura hoi ase
We're touched.,moi khan bishi touched feel kure
We're trapped!,moi khan toh bhaasi se
We're trapped.,
We're unhappy.,moi khan toh kushi nai
We're unlucky.,moi khan gopal nai
We're useless.,moi khan kam nai
We're waiting.,moi khan rukhi ase
