English,Nagamese
I hate parties.,moi parties ke khin lake
I'm a good guy.,moi bhal manu ase
I want a drink.,moike bhi drink lake
Can Tom see us?,tom moikhan ke dikeh?
I'm exercising.,moi exercise kuri ase
I'm hungry now.,moi bhuk laki ase
I want revenge.,moi ke revenge lake
You're boring.,tui bishi alchi ase
I went fishing.,moi fishing jaise
I was hammered.,moi ke hammered hoise
I'm very upset.,moi ekdam mon biya baina ase
I am off today.,moi jai ase achi toh
We were bored.,moikhan alchi laki se
I quit smoking.,moi smoking charise
Can I kiss you?,moi kiss kurivo?
I'll need that.,moi ke oedu lakivo
Catch the ball.,ball dhurivi
We're baffled.,moi khan toh baffled hoise
I like English.,moi english kushi bai
We need to go.,moikhan javole lake
I'm from Tokyo.,moi tokyo bara ase
Are you coming?,tui ahivo?
I hate spinach.,moi spinach ke khin lake
Did you see it?,tui eitu dikeh se?
I love my life.,moi la life kushi bai
I don't gossip.,moi manu la biche khota nakoi
I was pardoned.,moi ke pardoned kurise
I want to walk.,moi bhi beraivole mon ase
Don't be crude.,crude nahobi
Are we leaving?,moi khan chaari ase?
I lit the oven.,moi oven lit kurise
I have no kids.,moike bachhha nai
I am in London.,moi london dey ase
He could do it.,tai kurivole bari thakise
Cash is better.,cash hi bhal ase
I'm mad at you.,moi tuike gussa ase
Don't tease me.,moi ke nakhilivi
He worked hard.,tai mon dina kaam kurise
We wonder why.,moi khan toh bhabhi thkise
I am not happy.,moi kushi nai
I get up early.,moi jolti oethe
I need surgery.,moike surgery lake
I'll be direct.,moi sida sidi kovo
I get off here.,moi yaate olai ase
Go look for it.,jai kina bisarivi
How good is he?,eitu mota kiman bhal ase?
Do as you like.,tui kushi baanisana kurivi
You're single.,tui ekla ase
Do you mean us?,moi khan ke koi ase?
Do you miss it?,tui ke yaat ahai?
We're trapped!,moi khan toh bhaasi se
He should come.,tai ahivole lake
He's a big boy.,tai dangor mota hoise
Don't judge me.,moi ke judge nakurivi
I like picnics.,moi picnics kushi bai
Both are alive.,tuita bhi jinta ase
I was captured.,moi ke thuri dise
I want to work.,moi bhi kaam kurivole mon ase
He has a video.,taike video ase
I hate secrets.,moi secrets ke alchi lake
Give it a shot.,shot ekta divi
Am I not right?,moi thik nai naki?
Where are you?,tui kute ase?
Hello everyone!,sob ke moila salaam
I did warn you.,moi warn kurise nahoi
I hate dancing.,moi dancing alchi lake
I was starving.,moi bhuuk laki thakise
I deserve that.,moi deserve kure thaikise
I decorated it.,moi bara decorate kurise
You want this?,tui ke eitu  lake?
Get out of bed!,bisna bahar jaavi
I fell in love.,moi love dey kirise
I hurt my foot.,moila theng ke dukk dise
Don't stop him.,tai ke narukhivi
We're doctors.,moikhan doctor ase
We kept quiet.,moikhan chuub buhivole lake
Close the door.,dorwaza bon kurivi
Cats are smart.,cats toh smart ase?
He seems happy.,tai khusi dikeh ase
I have no idea.,moike idea nai
You look pale.,tui duk baina dikeh
I didn't cheat.,moi cheat kura nai
I followed you.,moi tuike follow kurise
"He saw it, too.",tai bara bhi dikeh se
We'll rebuild.,moi khan rebonaibo
Who hates you?,tuike kun khin lake?
He looked well.,tai bhal dikeh se
Have you eaten?,tui kaise
I love cooking.,moi cook kura kushi bai
I like castles.,moi castles kushi bai
I'll need this.,moi ke eitu lakivo
I was thinking.,moi bhabi thakise
I'm going bald.,moi chuli nathaka hoise
Do it this way.,eina kurivi
Allow me to go.,moi javole divi 
How wide is it?,kiman wide thakise?
We took a cab.,moikhan cab loise
I must buy one.,moi ekta kinivole lake
